ell,tau,EE,TE,TT
31,0.0261,4.758512847666074e-17,4.2176710501615674e-16,1.4526797382793262e-12
32,0.0261,4.841888355651288e-17,3.4864643695184926e-16,1.3739596359010921e-12
33,0.0261,4.925955557370833e-17,2.7660026389034087e-16,1.302055330934129e-12
34,0.0261,5.0106450944249506e-17,2.053509656028054e-16,1.23613043584238e-12
35,0.0261,5.095738582222745e-17,1.349430046749345e-16,1.1755564503708837e-12
36,0.0261,5.180980379625538e-17,6.550136439605019e-17,1.1197568460849522e-12
37,0.0261,5.266156935998417e-17,-2.870876304077426e-18,1.068192579634286e-12
38,0.0261,5.3512230627215286e-17,-7.015825593387845e-17,1.0204745480061441e-12
39,0.0261,5.4361756616787856e-17,-1.3636721736133462e-16,9.762511332721741e-13
40,0.0261,5.521011634754103e-17,-2.0150420345442787e-16,9.351707175040238e-13
41,0.0261,5.605721578873851e-17,-2.655914683328951e-16,8.969050144605665e-13
42,0.0261,5.690270871134239e-17,-3.2871451112349614e-16,8.612190646495791e-13
43,0.0261,5.774618583673935e-17,-3.909746422047468e-16,8.279012402660634e-13
44,0.0261,5.85872378863161e-17,-4.524731719551631e-16,7.967399135050222e-13
45,0.0261,5.942524305992834e-17,-5.132749208339709e-16,7.675360793641976e-13
46,0.0261,6.025872947130787e-17,-5.7329874962323845e-16,7.401412240522919e-13
47,0.0261,6.108601271265556e-17,-6.324270291857449e-16,7.14419456580748e-13
48,0.0261,6.190540837617222e-17,-6.905421303842693e-16,6.902348859610079e-13
49,0.0261,6.271523205405871e-17,-7.475264240815898e-16,6.674516212045145e-13
50,0.0261,6.351398297016795e-17,-8.03289138061377e-16,6.459440311998713e-13
2,0.0314,3.4333692411683947e-15,5.38782444077006e-13,2.9348221493479557e-10
3,0.0314,1.340507575772686e-15,1.900055076403831e-13,1.258948800765573e-10
4,0.0314,4.72944640154849e-16,8.395829648521209e-14,7.033022921310163e-11
5,0.0314,1.6683194130304908e-16,4.0084798818935096e-14,4.513839126124886e-11
6,0.0314,7.672491334158908e-17,1.9929724551669044e-14,3.1490937460057575e-11
7,0.0314,5.135829196377193e-17,1.049593582884732e-14,2.3278702087753403e-11
8,0.0314,4.224847369835493e-17,6.097933617801789e-15,1.795296265788293e-11
9,0.0314,3.800425865310488e-17,4.051352017529611e-15,1.4297017915030814e-11
10,0.0314,3.597672709466731e-17,3.0720650895238936e-15,1.1673036385542872e-11
11,0.0314,3.510270709807824e-17,2.562160920663466e-15,9.727193204273212e-12
12,0.0314,3.483284204936544e-17,2.2548197327095387e-15,8.240699485346211e-12
13,0.0314,3.4930472894958536e-17,2.0415269363423395e-15,7.079541967871929e-12
14,0.0314,3.5247049374852435e-17,1.8819967890390838e-15,6.154549486677068e-12
15,0.0314,3.5698941323940425e-17,1.7588105379688007e-15,5.405847642036263e-12
16,0.0314,3.623180859735814e-17,1.6582942200302944e-15,4.789998503174262e-12
17,0.0314,3.681377275790609e-17,1.5689347091171311e-15,4.2781042468649755e-12
18,0.0314,3.7430908419027646e-17,1.4844215232946984e-15,3.8467025637481485e-12
19,0.0314,3.807395644846901e-17,1.4000174213095453e-15,3.480319039549357e-12
