ell,tau,EE,TE,TT
34,0.0355,4.917771836717794e-17,1.988039728263471e-16,1.2144240257068055e-12
35,0.0355,5.0009554638436566e-17,1.2911926822624127e-16,1.1548919502320985e-12
36,0.0355,5.0844754737225796e-17,6.075077010784311e-17,1.1000498241776817e-12
37,0.0355,5.1683203096339394e-17,-6.349032256580768e-18,1.049367229115469e-12
38,0.0355,5.252322756023281e-17,-7.220336875906801e-17,1.002462453242565e-12
39,0.0355,5.336276682627687e-17,-1.3682939908273227e-16,9.58990961412372e-13
40,0.0355,5.419975959184242e-17,-2.00244282910687e-16,9.18608218478294e-13
41,0.0355,5.503254045158531e-17,-2.624937593131152e-16,8.809925117276459e-13
42,0.0355,5.586102758930139e-17,-3.237378849084786e-16,8.459134181833938e-13
43,0.0355,5.668553508607153e-17,-3.841652957023083e-16,8.131633373024166e-13
44,0.0355,5.750637702297661e-17,-4.4396462770013566e-16,7.825346685415927e-13
45,0.0355,5.832364341004618e-17,-5.032682027460488e-16,7.538320888337574e-13
46,0.0355,5.913652797310462e-17,-5.619830860383628e-16,7.269093850155709e-13
47,0.0355,5.994400036692502e-17,-6.199600286139498e-16,7.016326213996504e-13
48,0.0355,6.074503024628045e-17,-6.770497815096818e-16,6.778678622986121e-13
49,0.0355,6.1538587265944e-17,-7.331030957624316e-16,6.554811720250729e-13
50,0.0355,6.232357264210432e-17,-7.879984900436363e-16,6.343487341610831e-13
2,0.0393,4.548174749367148e-15,5.564505858709436e-13,2.9305072416591466e-10
3,0.0393,2.122833276251113e-15,2.0601179266434571e-13,1.256481585157041e-10
4,0.0393,8.741986194362487e-16,9.601108205483082e-14,7.001271134148366e-11
5,0.0393,3.286600962964096e-16,4.843688008016481e-14,4.481563700733416e-11
6,0.0393,1.3227187724685393e-16,2.5311862834835663e-14,3.119923503240601e-11
7,0.0393,7.156676971837033e-17,1.3742346952522516e-14,2.3025514764879794e-11
8,0.0393,5.2149387732846674e-17,7.941650763509943e-15,1.7737360741071504e-11
9,0.0393,4.372365248364673e-17,5.053038543706571e-15,1.411481048005282e-11
10,0.0393,3.924565642946471e-17,3.613095389102225e-15,1.15186664391554e-11
11,0.0393,3.6961444108054757e-17,2.869742261646425e-15,9.595551698723636e-12
12,0.0393,3.58700266814161e-17,2.4488824466338923e-15,8.127450287829723e-12
13,0.0393,3.538672949915453e-17,2.1738546028240475e-15,6.981196403470007e-12
14,0.0393,3.528608034698277e-17,1.967453044799857e-15,6.0683794759331e-12
15,0.0393,3.548128615429606e-17,1.8009719939994863e-15,5.3298300216417636e-12
16,0.0393,3.586610962923891e-17,1.665347694010367e-15,4.722389950560973e-12
17,0.0393,3.636737104561444e-17,1.5528649958271173e-15,4.217551954938261e-12
18,0.0393,3.6936730432764544e-17,1.4572010188607035e-15,3.792157764023118e-12
19,0.0393,3.755139669630304e-17,1.3724252121916378e-15,3.4308915945546364e-12
20,0.0393,3.81958970439844e-17,1.292808210136603e-15,3.1212184210555143e-12
21,0.0393,3.8860468465700033e-17,1.213539231424445e-15,2.8539420829048835e-12
22,0.0393,3.9538934071282646e-17,1.131097454729491e-15,2.62125311101499e-12
23,0.0393,4.0233751668193216e-17,1.0462033140958304e-15,2.4175499375741226e-12
24,0.0393,4.094827705618769e-17,9.606823236919868e-16,2.2380643048773416e-12
25,0.0393,4.168082330657344e-17,8.765390628144595e-16,2.079153294370748e-12
26,0.0393,4.242880958948534e-17,7.953626425662228e-16,1.9376308326036136e-12
27,0.0393,4.319112219881673e-17,7.169012361481642e-16,1.8110128873868437e-12
28,0.0393,4.396676574795971e-17,6.404481354603983e-16,1.69714296145657e-12
29,0.0393,4.4753751004542826e-17,5.653180451020207e-16,1.594472655988197e-12
30,0.0393,4.5549840274753764e-17,4.908310228468731e-16,1.5016055967669488e-12
31,0.0393,4.6353193056979096e-17,4.1650993431357954e-16,1.417232419301445e-12
32,0.0393,4.7163557618401106e-17,3.4268887649989265e-16,1.3403917979938945e-12
33,0.0393,4.7981079418401e-17,2.6990475424834753e-16,1.2702094169699028e-12
34,0.0393,4.880548642987993e-17,1.98599234807234e-16,1.2058628425529167e-12
35,0.0393,4.963483667981891e-17,1.2883303504786395e-16,1.1467371698577465e-12
36,0.0393,5.046677070871892e-17,6.057163424730622e-17,1.092269376197043e-12
