k (h/Mpc),x,omega_b,omega_m,T(k),log10(T(k))
0.0010250249707206643,0.008892640000468459,0.0214,0.13666666666666666,0.987675863618907,-0.005385559196062336
0.0012904299833638166,0.01119517047452704,0.0214,0.13666666666666666,0.9826025354442227,-0.007622119574274106
0.0016245550981978333,0.014093884599749857,0.0214,0.13666666666666666,0.9756436525147663,-0.010708776601270497
0.002045193695981021,0.01774314947351956,0.0214,0.13666666666666666,0.9662370801663751,-0.014916300111097033
0.002574746315911742,0.022337301757476072,0.0214,0.13666666666666666,0.9537088010418766,-0.020584209578749433
0.0032414135660247044,0.02812099681340114,0.0214,0.13666666666666666,0.9372913601600132,-0.02812538623002839
0.0040806979084028515,0.0354022374933735,0.0214,0.13666666666666666,0.9161478048131718,-0.03803445467665339
0.005137294294743657,0.04456877641478014,0.0214,0.13666666666666666,0.8893923033848498,-0.05090663316452077
0.006467470335517985,0.05610876520113926,0.0214,0.13666666666666666,0.8561423140815795,-0.06745403779585255
0.00814206275540854,0.07063675033610649,0.0214,0.13666666666666666,0.8155328033840064,-0.08855856553462996
0.010250249707206649,0.08892640000468464,0.0214,0.13666666666666666,0.7667029475764028,-0.11537286710282903
0.012904299833638173,0.11195170474527046,0.0214,0.13666666666666666,0.7088759508437428,-0.149429757168948
0.016245550981954415,0.14093884599729106,0.0214,0.13666666666666666,0.641458798887653,-0.1928312332724951
0.020451936810365792,0.1774314934386853,0.0214,0.13666666666666666,0.5645226731183715,-0.24831861067000854
0.025747346847640427,0.2233720085104722,0.0214,0.13666666666666666,0.47997183361222756,-0.3187842477612885
0.03239774358486491,0.2810677581104533,0.0214,0.13666666666666666,0.3934379410167106,-0.4051237613977044
0.04025255380186478,0.34921243899824855,0.0214,0.13666666666666666,0.31871064612813954,-0.49660342922321815
0.04691113660200547,0.4069792070735004,0.0214,0.13666666666666666,0.2753569702267472,-0.5601039255647575
0.05173379792887489,0.4488183741660633,0.0214,0.13666666666666666,0.25248710718075557,-0.5977607934788264
0.055704937967503185,0.48327013852663264,0.0214,0.13666666666666666,0.23732864404198456,-0.6246498420665543
0.05924784599311847,0.5140067610739023,0.0214,0.13666666666666666,0.2256435353802923,-0.6465771043724371
0.06255071470692809,0.5426609141723086,0.0214,0.13666666666666666,0.21569913948291275,-0.6661515874823787
0.06571294199473686,0.5700949276582146,0.0214,0.13666666666666666,0.2066515880216222,-0.6847612530177544
0.06879403756878355,0.5968250801224716,0.0214,0.13666666666666666,0.19803255019181867,-0.7032634198049055
0.07183304679360404,0.6231901109913596,0.0214,0.13666666666666666,0.18959622370828974,-0.7221703169925956
0.07485746267895824,0.6494285368330674,0.0214,0.13666666666666666,0.1812191793615092,-0.7417958405991737
0.07788778179227493,0.6757181763355258,0.0214,0.13666666666666666,0.1728737981283406,-0.7622708262205596
0.08094003327069708,0.702198090838899,0.0214,0.13666666666666666,0.1645949106879872,-0.7835835974001424
0.08402727614158662,0.7289815743920182,0.0214,0.13666666666666666,0.15646213314031684,-0.8055907530574389
0.08716053276432055,0.7561642518593455,0.0214,0.13666666666666666,0.14858849020719456,-0.8280148300983085
0.09034939572834177,0.7838293440862503,0.0214,0.13666666666666666,0.14109102061197237,-0.850500624961187
0.09360243634316569,0.8120512117683548,0.0214,0.13666666666666666,0.13409375530330758,-0.8725914466112124
0.09692748756867649,0.8408978100232201,0.0214,0.13666666666666666,0.12770163153430897,-0.8938035540927238
0.10033184464962452,0.870432429001948,0.0214,0.13666666666666666,0.12197781144575691,-0.9137191631209469
0.10382241013040006,0.9007149519699253,0.0214,0.13666666666666666,0.11694148526518666,-0.9320313945214954
