k (h/Mpc),x,omega_b,omega_m,omega_nu,T(k),log10(T(k))
0.17411124835956385,1.4440038733148612,0.0234,0.14333333333333334,0.000642,0.06318346999054772,-1.1993965266365558
0.17993387983605313,1.4922942766297125,0.0234,0.14333333333333334,0.000642,0.06098968783884784,-1.2147435894692016
0.18595109828701473,1.5421985006912529,0.0234,0.14333333333333334,0.000642,0.05899889041054163,-1.2291561560376922
0.19216950426308824,1.5937712876300423,0.0234,0.14333333333333334,0.000642,0.05697194268717353,-1.2443389712764301
0.19859585693325596,1.6470686950890117,0.0234,0.14333333333333334,0.000642,0.05472195804572214,-1.2618383712068284
0.2052371144693441,1.7021484311551622,0.0234,0.14333333333333334,0.000642,0.052199100054392905,-1.282336984445637
0.21210048236699444,1.7590702551129398,0.0234,0.14333333333333334,0.000642,0.049503284033528695,-1.3053659891405573
0.21919347066506134,1.817896451997324,0.0234,0.14333333333333334,0.000642,0.04683068905408999,-1.3294694520793882
0.2265239611220555,1.8786923897263854,0.0234,0.14333333333333334,0.000642,0.044385630865886455,-1.3527576029859791
0.23410028555656417,1.9415271688230664,0.0234,0.14333333333333334,0.000642,0.04229809450397705,-1.373679196810488
0.24193131677511637,2.00647437653182,0.0234,0.14333333333333334,0.000642,0.04056296278304543,-1.3918703309593723
0.2500265738160339,2.0736129596658843,0.0234,0.14333333333333334,0.000642,0.03903419178639585,-1.4085548083920887
0.25839634365665676,2.1430282339947095,0.0234,0.14333333333333334,0.000642,0.03750874879805166,-1.425867422630533
0.26705182209608985,2.2148130526649163,0.0234,0.14333333333333334,0.000642,0.03584706178440717,-1.4455464356199783
0.2760052772782591,2.2890691623902546,0.0234,0.14333333333333334,0.000642,0.03404634639477547,-1.4679294865624655
0.2852702403167736,2.365908784412292,0.0234,0.14333333333333334,0.000642,0.032239522552671804,-1.4916113984511719
0.2948617288006865,2.445456468161148,0.0234,0.14333333333333334,0.000642,0.030596405631637822,-1.5143295900554634
0.30479651070571406,2.527851280021735,0.0234,0.14333333333333334,0.000642,0.029185911595163826,-1.5348267373523987
0.3150934185600888,2.613249408890338,0.0234,0.14333333333333334,0.000642,0.027939047543733272,-1.5537884032881046
0.32577372683483863,2.701827296087414,0.0234,0.14333333333333334,0.000642,0.026715347534365937,-1.5732391717982877
0.33686160975985446,2.793785432287321,0.0234,0.14333333333333334,0.000642,0.025422809748027207,-1.5947764525770793
0.34838470257314524,2.8893530122784528,0.0234,0.14333333333333334,0.000642,0.024098101852331667,-1.618017164376316
0.3603747972830239,2.988793705315824,0.0234,0.14333333333333334,0.000642,0.022846965945465113,-1.6411714656436394
