ell,tau,EE,TE,TT
3,0.12,1.2388621629471973e-14,2.4542027087055165e-13,1.2461786493437455e-10
4,0.12,9.270290744195039e-15,1.3705515054418246e-13,6.834090511805988e-11
5,0.12,6.343904074324868e-15,8.371971007621392e-14,4.2957902841064015e-11
6,0.12,4.007930188806461e-15,5.3074845143467754e-14,2.936449423739935e-11
7,0.12,2.347989419112478e-15,3.4308530346285294e-14,2.131225811272358e-11
8,0.12,1.2826377236985403e-15,2.2312041187475783e-14,1.618284098057818e-11
9,0.12,6.64483340902528e-16,1.44566255277803e-14,1.2727163343025e-11
2000,0.02,2.0418868577560132e-18,-4.962338619097335e-18,5.189739007407613e-17
2001,0.02,2.023185330644839e-18,-4.953536861428936e-18,5.190437223609442e-17
2002,0.02,2.004481362928591e-18,-4.94381073095589e-18,5.1910796839523945e-17
2003,0.02,1.98578057451722e-18,-4.9331683827688246e-18,5.191660692945375e-17
2004,0.02,1.9670885853206756e-18,-4.921617971958374e-18,5.19217455509729e-17
2005,0.02,1.9484110152489078e-18,-4.909167653615165e-18,5.1926155749170425e-17
2006,0.02,1.9297534842118676e-18,-4.89582558282983e-18,5.192978056913539e-17
2007,0.02,1.911121612119504e-18,-4.8815999146929964e-18,5.1932563055956836e-17
2008,0.02,1.892521018881768e-18,-4.866498804295299e-18,5.193444625472382e-17
2009,0.02,1.8739573244086095e-18,-4.850530406727363e-18,5.193537321052537e-17
2010,0.02,1.855436148609978e-18,-4.833702877079822e-18,5.193528696845057e-17
2011,0.02,1.836963111395824e-18,-4.816024370443305e-18,5.193413057358843e-17
2012,0.02,1.818543832676098e-18,-4.797503041908443e-18,5.193184707102801e-17
2013,0.02,1.8001839323607487e-18,-4.778147046565865e-18,5.192837950585839e-17
2014,0.02,1.7818890303597277e-18,-4.757964539506201e-18,5.192367092316857e-17
2015,0.02,1.763664746582984e-18,-4.736963675820085e-18,5.1917664368047636e-17
2016,0.02,1.7455167009404687e-18,-4.715152610598141e-18,5.1910302885584625e-17
2017,0.02,1.7274505133421312e-18,-4.692539498931005e-18,5.190152952086858e-17
2018,0.02,1.7094718036979218e-18,-4.669132495909304e-18,5.1891287318988556e-17
2019,0.02,1.6915861919177904e-18,-4.644939756623668e-18,5.18795193250336e-17
2020,0.02,1.6737992979116871e-18,-4.6199694361647295e-18,5.1866168584092763e-17
2021,0.02,1.6561167415895624e-18,-4.594229689623118e-18,5.185117814125508e-17
2022,0.02,1.6385441428613661e-18,-4.567728672089462e-18,5.1834491041609623e-17
2023,0.02,1.6210871216370481e-18,-4.540474538654394e-18,5.1816050330245425e-17
2024,0.02,1.6037512978265588e-18,-4.5124754444085415e-18,5.179579905225154e-17
2025,0.02,1.586542291339848e-18,-4.483739544442537e-18,5.177368025271702e-17
2026,0.02,1.5694652481241753e-18,-4.4542763418749895e-18,5.174964410278175e-17
2027,0.02,1.5525234182760364e-18,-4.424100731936425e-18,5.1723669277789014e-17
2028,0.02,1.5357195779292373e-18,-4.39322895788535e-18,5.169574157913295e-17
2029,0.02,1.5190565032175823e-18,-4.36167726298027e-18,5.166584680820767e-17
2030,0.02,1.502536970274877e-18,-4.329461890479689e-18,5.163397076640729e-17
2031,0.02,1.4861637552349272e-18,-4.296599083642115e-18,5.160009925512596e-17
2032,0.02,1.469939634231538e-18,-4.263105085726052e-18,5.1564218075757785e-17
2033,0.02,1.4538673833985148e-18,-4.228996139990006e-18,5.1526313029696913e-17
2034,0.02,1.4379497788696622e-18,-4.1942884896924826e-18,5.148636991833744e-17
2035,0.02,1.4221895967787862e-18,-4.158998378091989e-18,5.144437454307352e-17
2036,0.02,1.4065896132596918e-18,-4.123142048447028e-18,5.1400312705299263e-17
2037,0.02,1.3911526044461842e-18,-4.086735744016108e-18,5.13541702064088e-17
2038,0.02,1.375881346472069e-18,-4.049795708057733e-18,5.130593284779625e-17
2039,0.02,1.3607786154711513e-18,-4.012338183830409e-18,5.125558643085574e-17
2040,0.02,1.3458471875772363e-18,-3.974379414592642e-18,5.120311675698141e-17
2041,0.02,1.3310898389241292e-18,-3.935935643602938e-18,5.1148509627567365e-17
2042,0.02,1.3165093456456361e-18,-3.897023114119802e-18,5.109175084400775e-17
