k (h/Mpc),T(k)
0.04379263567326977,0.1348459276669133
0.04402832971943695,0.134125138826387
0.04426763163010201,0.1334028462206542
0.04451072106563155,0.13267785149526928
0.044757790396213075,0.13195136131398547
0.045009045900815,0.13122171223295845
0.04526470910832205,0.13048961672104092
0.04552501830120139,0.12975466623663703
0.04579023020547676,0.12901647812163003
0.04606062189487012,0.12827436293858846
0.046336492941858314,0.1275283700145654
0.04661816785426512,0.12677833887862755
0.04690599884309049,0.12602363746325834
0.047200368975849914,0.1252637403449166
0.04750169578010971,0.12449846240171158
0.04781043537460461,0.12372717785637227
0.048127087220876066,0.1229492128309114
0.048452199607491246,0.12216451002580686
0.048786376002510144,0.12137194621271319
0.049130282439134615,0.12057142881640362
0.04948465613590826,0.1197617056564873
0.049850315598381593,0.11894191112879168
0.050228172506325434,0.1181116871842991
0.050619245762610565,0.11726976016528745
0.05102467817097262,0.11641511174856128
0.05144575632546617,0.11554617557692959
0.05188393444144726,0.11466209950754983
0.05234086304529044,0.11376115625392016
0.05281842367890295,0.11284144788330597
0.053318771079119566,0.11190126778539833
0.053844384677277035,0.1109382086067369
0.05439813174792545,0.1099496731161434
0.05498334513290785,0.10893271353977861
0.05560391918319047,0.10788380498606442
0.056264428374170165,0.10679872111218122
0.05697027387682605,0.1056728454933101
0.05772786399038222,0.1045002198572969
0.05854483427582386,0.10327399134682846
0.05943031146101359,0.10198556282061355
0.060395219720207415,0.10062526045993754
0.061452615031949376,0.09918005811992661
0.06261800649974225,0.09763501993428575
0.06390957277912701,0.0959715550157543
0.06534809532164687,0.09416778930801593
0.06695630489466987,0.09219735873849419
0.06875721024854385,0.09003157614064675
0.07077098296561685,0.08764204906864337
0.07301038346850725,0.08500585335460621
0.07547576917975296,0.08211454853798796
0.07815204103540209,0.07898312338172342
0.08101000147735515,0.0756557869098443
0.08401231857198486,0.07220422774350958
0.08712118723774666,0.06871838568853801
0.09030408534057507,0.06529355867103408
0.09353612716714887,0.062018431753417494
0.09679976582110926,0.05896612992127151
0.10008329134888445,0.0561885798066213
0.10337916399820073,0.05371414156117643
0.1066826382173352,0.05154770141043386
0.10999076915405719,0.04967305337176638
0.11330174521384061,0.04805670886393676
0.11661445780059486,0.04665274043072189
0.11992823061309671,0.04540870007118501
0.12324265177889515,0.044270630390878626
0.12655747066077777,0.04318814950953605
0.12987253475136878,0.04211873609481528
0.1331877512040594,0.041030547328723875
0.136503063426413,0.03990423232095204
0.13981843685413547,0.03873290997279109
0.14313385031016784,0.03752117717142924
0.14644929075778168,0.03628298289584344
0.1497647501148171,0.03503878105178024
0.15308022331917417,0.03381246141091966
0.15639570715376624,0.03262836905144979
0.15971119953241716,0.0315084705602799
0.163026699065541,0.030470302095690537
0.16634220479567258,0.02952539624281284
0.1696577160361429,0.028678413718879844
0.17297323227241992,0.027927296671983924
0.17628875310154765,0.027263856867121995
0.17960427819477157,0.026675100350070948
0.18291980727429455,0.026144812666452355
0.18623534009866388,0.02565537677490628
0.1895508764534453,0.025191592858550844
0.19286641614515038,0.02473693946214528
0.19618195899717836,0.02427707496963322
0.19949750484701584,0.023802638314280124
0.2028130535442319,0.023308821164705347
0.20612860494898474,0.022795206120784065
0.20944415893086363,0.02226540314967868
0.212759715367958,0.021726101423099758
0.21607527414608413,0.021185676367064588
0.2193908351581263,0.02065298462737833
0.22270639830346373,0.020136367410091508
0.22602196348746484,0.019642902186573257
0.22933753062103496,0.019178071987017577
0.23265309962020958,0.018745583418213866
0.2359686704057855,0.018347148348490383
0.23928424290298508,0.01798245485516905
0.24259981704114966,0.01764922717084823
0.24591539275345864,0.017343361480070294
0.24923096997667188,0.017059417940338675
0.25254654865089254,0.016791268507131685
0.25586212871934866,0.01653280712079396
0.25917771012819213,0.016278585226264002
0.2624932928263126,0.01602426739768218
0.2658088767651657,0.0157668309435941
0.2691244618986138,0.015504601050339888
0.2724400481827788,0.015237178566181658
0.2757556355759056,0.014965179232322719
0.2790712240382349,0.014690319299061755
0.2823868135318858,0.014415061369294699
0.2857024040207457,0.014142374687022799
0.2890179954703686,0.013875450295489337
0.29233358784788005,0.013617246827471887
0.2956491811218884,0.013370174691017575
0.2989647752624022,0.013135763127819666
0.30228037024075316,0.012914623411996699
0.30559596602952355,0.012706520087228189
0.3089115626024792,0.012510538015723879
0.31222715993450606,0.012325272072994473
0.3155427580015511,0.01214903787472795
0.3188583567805671,0.011979982925371193
0.32217395624946016,0.011816186213141436
0.32548955638704125,0.011655778348139554
0.3288051571729802,0.011497086622132852
0.33212075858776285,0.011338799655364806
0.3354363606126503,0.011180078884552655
0.33875196322964074,0.011020613771868951
0.34206756642143377,0.010860614764064063
0.34538317017139647,0.010700673238029784
0.3486987744635314,0.0105416433571071
0.3520143792824469,0.010384405582189705
0.35532998461332815,0.01022988303584755
0.3586455904419109,0.010078889397389315
0.36196119675445576,0.009932157735091892
0.3652768035377246,0.009790263012763242
0.3685924107789576,0.009653619488268197
0.37190801846585203,0.009522384434836424
0.37522362658654196,0.009396413146628051
0.37853923512957877,0.00927530736347296
0.38185484408391357,0.009158457506714793
0.3851704534388791,0.009045102537240352
0.38848606318417417,0.008934523458054408
0.3918016733098476,0.008826084023091488
0.3951172838062836,0.008719281688149144
0.39843289466418774,0.00861373075860876
0.4017485058745738,0.008509185253474844
0.40506411742875087,0.008405470806904736
0.40837972931831146,0.00830248190697333
0.41169534153512005,0.008200277832250831
0.4150109540713021,0.008098975157129724
0.41832656691923364,0.007998838956423457
0.4216421800715315,0.0079001646695342
0.42495779352104385,0.00780328496124452
0.4282734072608411,0.007708442172166695
0.43158902128420756,0.007615784433062328
0.43490463558463294,0.007525400142380179
0.4382202501558048,0.0074372864715156264
0.44153586499160097,0.007351414303472817
0.44485148008608266,0.0072677097415622186
0.44816709543348715,0.007186111981775789
0.45148271102822185,0.007106523624014267
0.4547983268648579,0.00702874782243202
0.4581139429381239,0.006952580659294085
0.46142955924290086,0.006877781017029161
0.464745175774216,0.006804105854453434
0.46806079252723826,0.006731382270750235
0.47137640949727283,0.006659528871485248
0.47469202667975646,0.00658847155543907
0.47800764407025315,0.00651823524591695
0.48132326166444933,0.006448811659886948
0.48463887945815004,0.006380245153286071
0.48795449744727465,0.006312551463820993
0.49127011562785305,0.0062457881566733466
0.49458573399602196,0.00618000885794516
0.4979013525480214,0.006115326852039206
0.5012169712801912,0.0060518387268602295
0.5045325901889675,0.005989619615535182
0.5078482092708801,0.005928697921242409
0.5111638285225489,0.005869050839285854
0.5144794479406817,0.005810580970554827
0.51779506752207,0.005753202910084911
0.5211106872635881,0.005696841313438789
0.5244263071621891,0.005641435456296855
0.527741927214903,0.005586914059483319
0.5310575474188344,0.005533236375822536
