k (h/Mpc),x,omega_b,omega_m,omega_nu,T(k),log10(T(k))
2.0098038306749414e-05,0.00018361751120769454,0.0214,0.13,0.000856,0.9999948699909612,-2.2279403323420244e-06
2.5301931151579454e-05,0.000231160750909767,0.0214,0.13,0.000856,0.9999907640869538,-4.011124594550411e-06
3.1853244094189836e-05,0.00029101414352972736,0.0214,0.13,0.000856,0.9999842873684706,-6.82396278076201e-06
4.0100858438258065e-05,0.0003663651004810889,0.0214,0.13,0.000856,0.9999740200610251,-1.1283090704624013e-05
5.048398972268364e-05,0.0004612263349901663,0.0214,0.13,0.000856,0.9999577593202448,-1.834528159084603e-05
6.3555577550642e-05,0.0005806495537078096,0.0214,0.13,0.000856,0.999932060128099,-2.9506913827146693e-05
8.001173163975813e-05,0.0007309944785097037,0.0214,0.13,0.000856,0.9998914512713761,-4.714467265239298e-05
0.0001007288022029469,0.0009202675248770912,0.0214,0.13,0.000856,0.9998273929037065,-7.496877971545476e-05
0.00012681004879287814,0.0011585481727166911,0.0214,0.13,0.000856,0.999726623579838,-0.00011874210214384203
0.00015964439289621257,0.0014585257354207406,0.0214,0.13,0.000856,0.999568772375648,-0.0001873201694195665
0.00020098038306749425,0.0018361751120769465,0.0214,0.13,0.000856,0.999323135640887,-0.00029405798607545975
0.00025301931151579466,0.002311607509097671,0.0214,0.13,0.000856,0.9989446548224566,-0.00045857260588825024
0.00031853244094189845,0.002910141435297274,0.0214,0.13,0.000856,0.9983699726965911,-0.00070848944879368
0.00040100858438258085,0.003663651004810891,0.0214,0.13,0.000856,0.9975150034601933,-0.0010805634397417713
0.0005048398972268366,0.004612263349901665,0.0214,0.13,0.000856,0.9962755941911805,-0.001620508483439322
0.0006355557755064205,0.0058064955370781,0.0214,0.13,0.000856,0.9945267935077323,-0.0023835120711581037
0.0008001173163975818,0.007309944785097042,0.0214,0.13,0.000856,0.9921029281144569,-0.003443268578433527
0.0010072880220294697,0.00920267524877092,0.0214,0.13,0.000856,0.9887446492685332,-0.004915853733900835
0.0012681004879287823,0.01158548172716692,0.0214,0.13,0.000856,0.984075418038397,-0.006971616626803478
0.0015964439289621267,0.014585257354207414,0.0214,0.13,0.000856,0.9776459779808849,-0.009818382066905466
0.002009803830674944,0.018361751120769477,0.0214,0.13,0.000856,0.9689295264087034,-0.013707809538340634
0.0025301931151579487,0.02311607509097673,0.0214,0.13,0.000856,0.95727568952704,-0.01896297006240361
0.0031853244094189872,0.029101414352972768,0.0214,0.13,0.000856,0.9419368438608274,-0.025978215341141416
0.004010085843825811,0.03663651004810893,0.0214,0.13,0.000856,0.9220836104148966,-0.035229697280985156
0.005048398972268371,0.04612263349901669,0.0214,0.13,0.000856,0.8968198828083618,-0.04729477184680857
0.0063555577550642095,0.05806495537078104,0.0214,0.13,0.000856,0.8652228208153977,-0.06287203428207389
